ticket,symbol,direction,lot,entry_price,sl,tp,signal_score,is_exhausted,entry_time,exit_price,exit_time,result,pnl,status,ind_open,ind_high,ind_low,ind_close,ind_volume,ind_ema_9,ind_ema_20,ind_ema_50,ind_ema_200,ind_sma_10,ind_sma_20,ind_sma_50,ind_sma_200,ind_macd,ind_macd_signal,ind_histogram,ind_atr,ind_di_pos,ind_di_neg,ind_adx,ind_supertrend,ind_supertrend_dir,ind_supertrend_flip,ind_psar,ind_psar_dir,ind_ichi_tenkan,ind_ichi_kijun,ind_ichi_span_a,ind_ichi_span_b,ind_ichi_cloud_top,ind_ichi_cloud_bot,ind_ichi_cloud_bull,ind_ichi_tk_bull,ind_ichi_tk_bear,ind_rsi,ind_stoch_k,ind_stoch_d,ind_cci,ind_williams_r,ind_mfi,ind_bb_mid,ind_bb_upper,ind_bb_lower,ind_bb_pct,ind_obv,ind_obv_ema,ind_vwap,ind_fib_swing_high,ind_fib_swing_low,ind_fib_236,ind_fib_382,ind_fib_500,ind_fib_618,ind_fib_786,ind_rsi_bull_div,ind_rsi_bear_div,ind_rsi_hid_bull,ind_rsi_hid_bear,ind_bull_chain,ind_bear_chain,ind_close_slope,ind_fvg_bull,ind_fvg_bear,ind_ob_bull,ind_ob_bear,ind_ob_bull_high,ind_ob_bull_low,ind_ob_bear_high,ind_ob_bear_low,ind_bos_bull,ind_bos_bear,ind_choch_bull,ind_choch_bear,ind_liq_bull_sweep,ind_liq_bear_sweep,ind_candle_pat,ind_candle_ex,ind_h1_datetime,ind_h1_open,ind_h1_high,ind_h1_low,ind_h1_close,ind_h1_volume,ind_h1_ema_9,ind_h1_ema_20,ind_h1_ema_50,ind_h1_ema_200,ind_h1_sma_10,ind_h1_sma_20,ind_h1_sma_50,ind_h1_sma_200,ind_h1_macd,ind_h1_macd_signal,ind_h1_histogram,ind_h1_atr,ind_h1_di_pos,ind_h1_di_neg,ind_h1_adx,ind_h1_supertrend,ind_h1_supertrend_dir,ind_h1_supertrend_flip,ind_h1_psar,ind_h1_psar_dir,ind_h1_ichi_tenkan,ind_h1_ichi_kijun,ind_h1_ichi_span_a,ind_h1_ichi_span_b,ind_h1_ichi_cloud_top,ind_h1_ichi_cloud_bot,ind_h1_ichi_cloud_bull,ind_h1_ichi_tk_bull,ind_h1_ichi_tk_bear,ind_h1_rsi,ind_h1_stoch_k,ind_h1_stoch_d,ind_h1_cci,ind_h1_williams_r,ind_h1_mfi,ind_h1_bb_mid,ind_h1_bb_upper,ind_h1_bb_lower,ind_h1_bb_pct,ind_h1_obv,ind_h1_obv_ema,ind_h1_vwap,ind_h1_fib_swing_high,ind_h1_fib_swing_low,ind_h1_fib_236,ind_h1_fib_382,ind_h1_fib_500,ind_h1_fib_618,ind_h1_fib_786,ind_h1_rsi_bull_div,ind_h1_rsi_bear_div,ind_h1_rsi_hid_bull,ind_h1_rsi_hid_bear,ind_h1_bull_chain,ind_h1_bear_chain,ind_h1_close_slope,ind_h1_fvg_bull,ind_h1_fvg_bear,ind_h1_ob_bull,ind_h1_ob_bear,ind_h1_ob_bull_high,ind_h1_ob_bull_low,ind_h1_ob_bear_high,ind_h1_ob_bear_low,ind_h1_bos_bull,ind_h1_bos_bear,ind_h1_choch_bull,ind_h1_choch_bear,ind_h1_liq_bull_sweep,ind_h1_liq_bear_sweep,ind_h1_candle_pat,ind_h1_candle_ex
92268746,XAUUSD.m,BUY,0.01,4381.94,4375.301712614095,4390.926574771811,9.142,False,2026-08-17T01:50:54+00:00,4375.28,2026-08-17T02:22:54+00:00,LOSS,-6.66,CLOSED,4380.06,4380.72,4379.68,4380.51,68,4377.286098875164,4376.149815092284,4376.729366318649,4366.63078203042,4376.264,4375.2755,4376.066,4365.71025,0.6806319014331166,-0.14020795344427778,0.8208398548773943,2.60414369295273,29.639936022129977,9.103334884365106,25.9813825141944,4372.429549514295,1,0,4372.520773423161,1,4376.385,4375.785,4376.01,4383.785,4383.785,4376.01,0,0,0,61.95036088830903,97.69230769230738,89.92147128614009,228.4411369325248,-2.3076923076926152,64.29980819888996,4375.2755,4379.846776339354,4370.704223660646,1.0725425036041725,574.0,156.41533426615686,4375.063979004616,4382.67,4370.85,4379.88048,4378.15476,4376.76,4375.36524,4373.3794800000005,0,0,0,0,6.0,2.0,3.9400000000005093,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,0,2026-08-17 01:00:00+00:00,4378.54,4380.72,4371.62,4380.51,3575,4375.8809426185035,4369.474517420073,4370.155087190377,4307.130936541805,4380.119,4360.2205,4372.9082,4308.62405,4.896531184804189,2.0735751167061283,2.822956068098061,14.251971770540846,21.87650719500857,15.150258307390235,21.139890658127182,4338.549472732924,1,0,4394.93412288,-1,4383.6,4353.91,4388.5225,4400.48,4400.48,4388.5225,0,0,0,56.753972916744715,70.08360596146873,69.53523531444218,56.96331867495702,-29.916394038531273,71.54150168326181,4360.2205,4407.564688539076,4312.876311460925,0.7142765630385008,34223.0,26217.23281934358,4360.292634125318,4449.7,4310.85,4416.9314,4396.6593,4380.275,4363.8907,4340.5639,0,0,0,0,3.0,5.0,2.119999999999891,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,1,0
92278020,XAUUSD.m,BUY,0.01,4382.07,4373.890740014534,4397.408519970931,9.45,False,2026-08-17T03:16:54+00:00,4397.47,2026-08-17T03:52:27+00:00,WIN,15.4,CLOSED,4378.74,4381.73,4378.46,4381.73,257,4375.649380178319,4375.487550526567,4376.2162361811925,4368.701404273604,4373.105,4376.592,4375.6254,4369.9296,-0.16415025316109677,-0.6969291551819413,0.5327789020208445,3.9196299927328075,27.88786013139411,15.996777173669095,22.07175981568999,4367.641155553164,1,1,4367.3366000000005,1,4374.41,4376.63,4375.327499999999,4379.13,4379.13,4375.327499999999,0,0,0,59.61005936208948,90.42618900555763,63.50274021501323,65.4667585479938,-9.573810994442374,48.861631808473895,4376.592,4386.94265337375,4366.24134662625,0.7481968922382359,20.0,-316.43138180601005,4375.8004968739715,4386.17,4367.09,4381.66712,4378.88144,4376.63,4374.37856,4371.17312,0,0,0,0,7.0,1.0,11.449999999999818,1,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,2026-08-17 03:00:00+00:00,4370.28,4381.73,4368.07,4381.73,2420,4376.838123275842,4371.127426472921,4370.807192995233,4308.651584342812,4380.071999999999,4366.132,4371.5174,4311.7661,4.898730692208119,3.0977061490219286,1.8010245431861902,14.865573095455703,20.34227485069089,14.545200669372639,20.863031738072774,4338.549472741236,1,0,4392.357912486912,-1,4381.88,4353.91,4384.8225,4396.78,4396.78,4384.8225,0,0,0,55.628507864278056,68.71278998152191,65.36213458235018,45.19871204357589,-31.287210018478095,64.54990276502286,4366.132,4405.652129767558,4326.611870232441,0.6973424694167392,31847.0,26953.07083497882,4366.153143874755,4449.7,4310.85,4416.9314,4396.6593,4380.275,4363.8907,4340.5639,0,0,0,0,3.0,4.0,5.449999999999818,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0
92286674,XAUUSD.m,BUY,0.01,4405.2,4395.325635491148,4423.7187290177035,9.172,False,2026-08-17T04:00:54+00:00,4395.33,2026-08-17T04:49:27+00:00,LOSS,-9.87,CLOSED,4400.72,4406.95,4399.63,4404.79,211,4394.789974505199,4387.832661657708,4382.059678037621,4370.982126084447,4393.729,4383.065,4378.9782000000005,4372.6702000000005,6.486271072330055,4.030623368189826,2.4556477041402296,4.732182254425924,42.653638981000995,7.509295578791148,39.81012983227246,4388.2556089923255,1,0,4386.01408072983,1,4395.48,4387.02,4377.6050000000005,4377.305,4377.6050000000005,4377.305,1,0,0,75.49508024240392,94.44444444444484,96.00683636906676,134.99696843986337,-5.5555555555551654,88.27056873454687,4383.065,4406.9853516080375,4359.144648391962,0.9541112178447279,3793.0,1658.6970910423006,4382.871780849707,4406.95,4367.09,4397.54304,4391.72348,4387.02,4382.31652,4375.62004,0,0,0,0,7.0,1.0,9.019999999999527,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,2,2026-08-17 04:00:00+00:00,4400.72,4406.95,4399.63,4404.79,211,4385.439698620675,4375.955063861613,4372.84913727187,4309.896447454623,4384.293,4370.9695,4371.8268,4313.6089,8.073933329901593,4.33316116964467,3.740772160256922,15.682980859087138,26.84820009284979,12.802302307643096,22.90229222711192,4356.788904698429,1,0,4367.09,1,4387.02,4358.9,4384.8225,4396.78,4396.78,4384.8225,0,0,0,63.28301553014566,96.30326886873202,80.28823934206402,132.15048311925833,-3.696731131267974,70.47160662581277,4370.9695,4411.606965459231,4330.332034540769,0.9161246231501546,34032.0,24847.136653833913,4368.944671604555,4449.7,4310.85,4416.9314,4396.6593,4380.275,4363.8907,4340.5639,0,0,0,0,6.0,1.0,29.019999999999527,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,0
92353335,XAUUSD.m,BUY,0.01,4409.05,4401.366982131646,4423.816035736709,9.142,False,2026-08-17T10:36:55+00:00,4401.36,2026-08-17T11:01:27+00:00,LOSS,-7.6899999999999995,CLOSED,4407.13,4408.87,4406.75,4408.85,272,4402.665560210646,4400.011196348489,4396.984946563809,4388.840629591824,4401.897,4399.029500000001,4396.4439999999995,4387.3508,2.5379954526551955,1.623523580486562,0.9144718721686336,3.741508934177166,35.51343215848762,14.31964866861717,19.804486086429744,4396.719309473078,1,0,4396.64,1,4402.48,4400.555,4393.165,4401.64,4401.64,4393.165,0,0,0,66.8906939505194,99.86842105263469,97.27415948040202,187.69852533691798,-0.1315789473653112,49.357747185189794,4399.029500000001,4407.716061853901,4390.3429381461,1.0652696754579714,-1181.0,-2542.5706916645,4398.776526035132,4408.87,4386.89,4403.68272,4400.47364,4397.88,4395.28636,4391.59372,0,0,0,0,6.0,2.0,11.390000000000327,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,2,2026-08-17 10:00:00+00:00,4403.09,4408.87,4396.09,4408.85,4858,4395.665488355219,4385.802830073756,4377.999532892749,4315.91847574553,4394.008,4386.4995,4370.1986,4323.41595,9.884546553699693,7.6294678140351815,2.255078739664511,15.003956754835903,25.11460510101157,10.749559857750647,28.100221953675316,4358.630321116576,1,0,4376.991191251967,1,4391.74,4363.675,4349.93,4380.275,4380.275,4349.93,0,0,0,63.30157431586336,84.7058823529413,71.27112914131133,140.393006305283,-15.294117647058693,62.171688842991884,4386.4995,4409.616523551874,4363.382476448126,0.9834207991752619,34746.0,23045.44250330911,4386.769151814875,4416.39,4310.85,4391.48256,4376.07372,4363.620000000001,4351.16628,4333.43556,0,0,0,1,7.0,1.0,11.770000000000437,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,2
92391663,XAUUSD.m,BUY,0.01,4399.09,4391.534549782341,4413.48090043532,9.05,False,2026-08-17T13:57:55+00:00,4391.48,2026-08-17T15:26:04+00:00,LOSS,-7.61,CLOSED,4397.64,4399.44,4397.11,4398.85,251,4397.668551792996,4397.3762581315095,4397.52411254001,4392.488442560061,4397.8550000000005,4396.489500000001,4399.1248000000005,4389.6232,0.04380121737631271,-0.3240162059128561,0.36781742328916883,3.657725108829846,23.28075329661494,9.855694865646617,25.113630220248005,4387.884076528121,1,0,4392.950543073601,1,4398.775,4398.775,4400.929999999999,4399.125,4400.929999999999,4399.125,1,0,0,52.7042462813303,50.54387237128552,42.97800338409426,90.45888232617155,-49.45612762871448,50.49313219055233,4396.489500000001,4401.524344794514,4391.454655205487,0.7344163620070325,-2722.0,-2242.869178070313,4396.630324656852,4411.36,4391.88,4406.76272,4403.91864,4401.62,4399.32136,4396.04872,0,0,1,1,6.0,2.0,2.850000000000364,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,2026-08-17 13:00:00+00:00,4395.6,4405.67,4391.88,4398.85,5611,4395.829898037873,4388.3487872848345,4379.967395013018,4317.429310964118,4396.921,4389.4375,4370.684,4328.0117,8.529757195669845,8.143899304818369,0.3858578908514758,14.462204469602307,24.350123629534103,10.453687654673306,29.971984093568572,4359.128321108124,1,0,4381.5324555435,1,4399.125,4379.17,4348.225,4380.275,4380.275,4348.225,0,0,0,57.82906303928976,64.42190669371217,59.58079783637624,78.11085334676505,-35.578093306287826,63.15355752084569,4389.4375,4410.243703401947,4368.631296598053,0.7261945588573763,37373.0,21895.553618209375,4390.616316197634,4416.39,4310.85,4391.48256,4376.07372,4363.620000000001,4351.16628,4333.43556,0,0,0,0,4.0,4.0,-4.229999999999563,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0
92444945,XAUUSD.m,BUY,0.01,4407.85,4396.457391514152,4429.885216971697,10.072,False,2026-08-17T16:56:55+00:00,4430.11,2026-08-18T03:23:52+00:00,WIN,22.26,CLOSED,4401.51,4407.81,4401.47,4407.6,413,4394.288427231216,4391.556143839391,4392.898987858343,4391.794369725791,4391.213,4387.8324999999995,4393.8468,4392.44905,1.2340954062747187,-1.4017657212624959,2.635861127537215,5.5713042429243,35.61192277609903,12.628628110063412,21.784391118507674,4386.618515046173,1,0,4384.59,1,4395.030000000001,4392.56,4399.795,4401.62,4401.62,4399.795,0,0,0,71.16500483909898,99.29883138564263,92.5467236677186,275.54457668990636,-0.7011686143573665,78.17005308677578,4387.8324999999995,4401.870038958092,4373.794961041907,1.204094216907069,308.0,-692.4640056586923,4387.677123270827,4407.81,4377.31,4400.612,4396.159000000001,4392.56,4388.961,4383.837,0,0,0,0,5.0,3.0,19.07000000000062,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,2,2026-08-17 16:00:00+00:00,4384.89,4407.81,4381.77,4407.6,10090,4396.571723795392,4390.552452603043,4381.854941951111,4322.21607616251,4397.268,4390.9625,4371.8668,4332.7823,7.463060334165675,7.791881383468723,-0.32882104930304745,15.44610427696946,22.4716208310298,15.596029542598536,28.26731967036846,4359.554766965579,1,0,4415.6084,-1,4394.335,4382.455,4345.5425000000005,4380.275,4380.275,4345.5425000000005,0,0,0,59.73154335457672,81.8087748344374,59.41969303135743,66.92518439360451,-18.191225165562606,67.17445882815421,4390.9625,4413.134884792153,4368.790115207847,0.8751851719145896,24875.0,15377.568137314775,4392.179001604925,4416.39,4310.85,4391.48256,4376.07372,4363.620000000001,4351.16628,4333.43556,0,0,0,1,4.0,4.0,12.079999999999927,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0
92533795,XAUUSD.m,BUY,0.01,4429.71,4421.50185103339,4445.166297933221,10.252,False,2026-08-18T03:41:54+00:00,4421.38,2026-08-18T04:25:38+00:00,LOSS,-8.33,CLOSED,4432.99,4433.02,4428.87,4429.39,254,4428.159576962181,4424.460408680218,4419.886200462002,4410.767962324663,4427.293,4423.5125,4418.659799999999,4408.8456,3.896174644810344,3.1404258603307915,0.7557487844795525,3.9440744833051538,26.072579206012485,11.347593747668974,29.74757350186176,4419.063087984419,1,0,4421.4766978304,1,4426.215,4421.594999999999,4415.1625,4410.639999999999,4415.1625,4410.639999999999,1,0,0,63.36794607439408,71.94194885971376,88.51622404317807,120.53651754314932,-28.058051140286242,66.53587610721398,4423.5125,4434.334502684628,4412.690497315371,0.7715532499520136,3550.0,2153.4660549489427,4424.116311283254,4433.45,4409.74,4427.85444,4424.39278,4421.594999999999,4418.7972199999995,4414.81394,0,0,1,0,6.0,2.0,1.5100000000002183,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,2026-08-18 03:00:00+00:00,4425.86,4433.45,4418.98,4429.39,5788,4418.023862698853,4409.009920929442,4394.255223015161,4331.463360890846,4419.2300000000005,4408.3085,4381.076,4347.5774,10.638510736677745,10.001274734126367,0.6372360025513775,14.932539337158465,25.108900217637377,17.171575967002713,21.812188136923048,4382.089592272467,1,0,4402.811111630921,1,4415.8099999999995,4400.27,4367.6675,4380.275,4380.275,4367.6675,0,0,0,62.258865941823416,92.76807980049959,84.69511733263198,125.16281880200782,-7.231920199500415,71.75714563464818,4408.3085,4434.767531509572,4381.849468490428,0.8983800388229183,54318.0,45324.81976157628,4407.557295389495,4433.45,4310.85,4404.5163999999995,4386.6168,4372.15,4357.6832,4337.0864,0,1,0,0,4.0,4.0,9.61999999999989,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,0
92600505,XAUUSD.m,BUY,0.01,4399.54,4394.992017283547,4402.782386173161,10.21,True,2026-08-18T09:27:54+00:00,4403.06,2026-08-18T10:26:13+00:00,WIN,3.52,CLOSED,4397.73,4399.62,4396.67,4399.32,361,4395.514719462106,4394.511544924563,4397.403788087573,4404.908368847371,4395.048000000001,4393.7035,4394.8736,4410.1045,0.3290187809980125,-0.6159768635671414,0.944995644565154,3.462386173161864,23.582227742523717,23.022044742984523,22.051519719531722,4387.546228741787,1,1,4388.603768,1,4393.615,4392.844999999999,4395.49,4412.945,4412.945,4395.49,0,0,0,58.85048090244006,97.78597785977729,92.13798200129152,173.71684464345955,-2.2140221402227147,69.47816781748699,4393.7035,4399.431136694689,4387.975863305311,0.9902982066938778,119.0,-1480.8221139802592,4393.17390037096,4405.35,4386.07,4400.79992,4397.9850400000005,4395.71,4393.43496,4390.19592,0,0,0,0,8.0,0.0,6.4399999999996,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,2,2026-08-18 09:00:00+00:00,4394.29,4399.62,4387.61,4399.32,3867,4402.8080321033285,4404.037624355524,4395.149914996948,4342.535574067265,4407.545,4408.6955,4388.1856,4354.2461,1.8306588796713186,5.698946018788411,-3.8682871391170925,14.727223285493812,17.786322903078627,23.10389246519054,18.012401047053423,4382.3835922739645,1,0,4425.3820504000005,-1,4411.045,4406.665000000001,4377.68,4380.275,4380.275,4377.68,0,0,0,48.70528890915739,26.52652652652614,17.5600281132192,-76.2992736760492,-73.47347347347386,35.95497279643676,4408.6955,4435.994957079683,4381.396042920316,0.32828413084124325,30046.0,26048.741703595584,4408.495889041233,4436.02,4310.96,4406.505840000001,4388.24708,4373.49,4358.73292,4337.72284,0,0,0,0,3.0,5.0,-0.5700000000006185,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,2
92828877,XAUUSD.m,BUY,0.01,4343.13,4334.378284262312,4359.463431475374,9.14,False,2026-08-19T03:14:54+00:00,4334.08,2026-08-19T04:00:20+00:00,LOSS,-9.05,CLOSED,4339.97,4344.93,4338.4,4342.74,764,4336.120780044703,4335.301734256377,4340.335091616639,4364.578774684349,4333.736,4333.825500000001,4339.3236,4372.38725,-0.3968556869185704,-1.9765735614854287,1.5797178745668583,4.1808578688435345,29.733925039081097,13.469275666051303,28.14464850563997,4328.593906599288,1,1,4327.99016,1,4336.055,4336.055,4339.355,4348.709999999999,4348.709999999999,4339.355,0,0,0,64.08863665726338,87.66197183098305,84.21911231870814,264.19552497162834,-12.338028169016955,65.9155720150947,4333.825500000001,4340.424509415244,4327.226490584758,1.175442285277499,-8406.0,-10386.458890286403,4334.041296738265,4358.69,4327.18,4351.25364,4346.65318,4342.9349999999995,4339.21682,4333.92314,0,0,0,0,7.0,1.0,8.800000000000182,0,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,2,2026-08-19 03:00:00+00:00,4333.02,4344.93,4331.56,4342.74,2376,4348.926954424942,4365.901523888218,4379.67489494642,4359.0974344489405,4349.59,4372.3724999999995,4390.7396,4363.4214999999995,-16.704947768711463,-12.203068382416065,-4.501879386295398,15.116678207004055,9.77603178790535,31.26827646570174,36.0047363380576,4378.398651695797,-1,0,4380.142162466646,-1,4352.385,4381.6,4400.49,4369.8150000000005,4400.49,4369.8150000000005,1,0,0,31.57330593795959,19.62168978562375,11.121980417308896,-102.33991205303855,-80.37831021437626,27.707804660075794,4372.3724999999995,4422.752947282844,4321.992052717155,0.20591269432724643,-82580.0,-45808.503894730486,4375.074029511654,4436.02,4327.18,4410.33376,4394.443120000001,4381.6,4368.75688,4350.47176,0,0,0,0,3.0,5.0,-2.8200000000006185,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0
92841765,XAUUSD.m,BUY,0.01,4351.77,4339.626629612261,4375.306740775479,10.208,False,2026-08-19T04:36:54+00:00,4339.37,2026-08-19T08:11:47+00:00,LOSS,-12.4,CLOSED,4350.63,4351.72,4350.15,4351.52,340,4343.946723170555,4341.44617825758,4341.350962269027,4361.297265214571,4341.588000000001,4341.8715,4337.4164,4367.56215,2.208231366932523,1.2023762406619172,1.005855126270606,5.94668519386971,24.68086800312608,20.910746929267507,23.139944077236716,4331.954204502434,1,0,4326.8771135744,1,4338.16,4338.16,4335.0325,4344.79,4344.79,4335.0325,0,0,0,63.681092949847674,99.262536873157,91.93019776931949,206.7272166383384,-0.7374631268429901,53.14055463366949,4341.8715,4350.626125303879,4333.116874696121,1.0510515678909262,-13973.0,-14069.30111654277,4340.906877909503,4351.72,4324.6,4345.3196800000005,4341.36016,4338.16,4334.95984,4330.40368,0,0,0,0,6.0,2.0,13.640000000000327,1,0,0,0,nan,nan,nan,nan,1,0,0,0,0,0,0,2,2026-08-19 04:00:00+00:00,4338.15,4351.72,4324.6,4351.52,7139,4348.706363539954,4364.133759729362,4378.40303283598,4362.423612486249,4347.644,4370.0405,4390.1622,4363.7651000000005,-15.994326446235391,-13.020290940239704,-2.974035505995687,16.123960555100087,9.440304022291732,30.304244291233267,36.92636295603302,4378.398651718073,-1,0,4374.845946219982,-1,4348.075000000001,4380.31,4401.605,4369.8150000000005,4401.605,4369.8150000000005,1,0,0,38.62593163631094,32.87738153395254,17.949459250283187,-83.47077930994767,-67.12261846604747,33.35362713531852,4370.0405,4420.7814268944085,4319.299573105592,0.3174993921717208,-74796.0,-53385.09308853079,4371.228794064312,4436.02,4324.6,4409.724880000001,4393.457560000001,4380.31,4367.16244,4348.443880000001,1,0,0,0,4.0,4.0,17.6200000000008,0,0,0,0,nan,nan,nan,nan,0,0,0,0,1,0,0,0
